ds,yhat
2023-07-01,43.027504
2023-07-02,22.794605
2023-07-03,25.428926
2023-07-04,26.351366
2023-07-05,26.351366
2023-07-06,24.916973
2023-07-07,27.57802
2023-07-08,26.553158
2023-07-09,24.537296
2023-07-10,26.553158
2023-07-11,25.804462
2023-07-12,25.804462
2023-07-13,24.721304
2023-07-14,22.329805
2023-07-15,27.005733
2023-07-16,23.93591
2023-07-17,22.969294
2023-07-18,24.09674
2023-07-19,25.625399
2023-07-20,24.53811
2023-07-21,23.498068
2023-07-22,28.764381
2023-07-23,32.253185
2023-07-24,38.290134
2023-07-25,37.6128
2023-07-26,30.950975
2023-07-27,22.403439
2023-07-28,22.678036
2023-07-29,17.711319
2023-07-30,34.77707
2023-07-31,18.443027
2023-08-01,24.779482
2023-08-02,22.802494
2023-08-03,48.18393
2023-08-04,32.67763
2023-08-05,24.718529
2023-08-06,24.936543
2023-08-07,24.509329
2023-08-08,26.20429
2023-08-09,33.99537
2023-08-10,22.75769
2023-08-11,24.42436
2023-08-12,22.540812
2023-08-13,21.256353
2023-08-14,22.540812
2023-08-15,22.540812
2023-08-16,22.720743
2023-08-17,21.214624
2023-08-18,19.085726
2023-08-19,21.86425
2023-08-20,21.454355
2023-08-21,21.86425
2023-08-22,26.517015
2023-08-23,26.821745
2023-08-24,33.74388
2023-08-25,22.877432
2023-08-26,25.039938
2023-08-27,25.294298
2023-08-28,22.621487
2023-08-29,24.571829
2023-08-30,25.115583
2023-08-31,24.100418
2023-09-01,39.195744
2023-09-02,24.410847
2023-09-03,25.58225
2023-09-04,24.094803
2023-09-05,22.714685
2023-09-06,22.714685
2023-09-07,20.844547
2023-09-08,30.445255
2023-09-09,22.764244
2023-09-10,20.301529
2023-09-11,23.860933
2023-09-12,22.764244
2023-09-13,22.764244
2023-09-14,22.714685
2023-09-15,30.794249
2023-09-16,32.3907
2023-09-17,31.388704
2023-09-18,32.3907
2023-09-19,25.785633
2023-09-20,23.58959
2023-09-21,22.66491
2023-09-22,19.63342
2023-09-23,21.868004
2023-09-24,22.277943
2023-09-25,31.166872
2023-09-26,23.152622
2023-09-27,23.267744
2023-09-28,23.783
2023-09-29,23.240223
2023-09-30,23.420835
