品类,月份,库存量
category1,2022-07-01,6917
category1,2022-08-01,6263
category1,2022-09-01,5705
category1,2023-01-01,6326
category1,2023-02-01,5718
category1,2023-03-01,5871
category1,2023-04-01,6702
category1,2023-05-01,6422
category1,2023-06-01,6156
category1,2023-07-01,6291
category1,2023-08-01,6092
category1,2023-09-01,5925
category10,2022-07-01,632
category10,2022-08-01,510
category10,2022-09-01,500
category10,2023-01-01,9
category10,2023-02-01,359
category10,2023-03-01,1373
category10,2023-04-01,1162
category10,2023-05-01,963
category10,2023-06-01,806
category10,2023-07-01,727
category10,2023-08-01,638
category10,2023-09-01,638
category100,2022-07-01,12634
category100,2022-08-01,11365
category100,2022-09-01,11342
category100,2023-01-01,15193
category100,2023-02-01,8277
category100,2023-03-01,11073
category100,2023-04-01,11467
category100,2023-05-01,9951
category100,2023-06-01,12817
category100,2023-07-01,12747
category100,2023-08-01,12999
category100,2023-09-01,13477
category101,2022-07-01,4117
category101,2022-08-01,3064
category101,2022-09-01,2333
category101,2023-01-01,3984
category101,2023-02-01,2391
category101,2023-03-01,3235
category101,2023-04-01,3515
category101,2023-05-01,3631
category101,2023-06-01,5223
category101,2023-07-01,4473
category101,2023-08-01,3815
category101,2023-09-01,3374
category102,2022-07-01,561977
category102,2022-08-01,435750
category102,2022-09-01,427502
category102,2023-01-01,705287
category102,2023-02-01,576453
category102,2023-03-01,489520
category102,2023-04-01,384087
category102,2023-05-01,415691
category102,2023-06-01,702408
category102,2023-07-01,624546
category102,2023-08-01,556005
category102,2023-09-01,574886
category103,2022-07-01,75423
category103,2022-08-01,73649
category103,2022-09-01,74250
category103,2023-01-01,82848
category103,2023-02-01,60542
category103,2023-03-01,66941
category103,2023-04-01,63041
category103,2023-05-01,78111
category103,2023-06-01,98836
category103,2023-07-01,91825
category103,2023-08-01,96909
category103,2023-09-01,102000
category104,2022-07-01,172128
category104,2022-08-01,157210
category104,2022-09-01,160584
category104,2023-01-01,202662
category104,2023-02-01,158789
category104,2023-03-01,198433
category104,2023-04-01,269019
category104,2023-05-01,334712
category104,2023-06-01,447620
category104,2023-07-01,172128
category104,2023-08-01,157210
category104,2023-09-01,160584
category105,2022-07-01,31180
category105,2022-08-01,29613
category105,2022-09-01,25826
category105,2023-01-01,24344
category105,2023-02-01,24094
category105,2023-03-01,24815
category105,2023-04-01,27049
category105,2023-05-01,25717
category105,2023-06-01,10027
category105,2023-07-01,25020
category105,2023-08-01,24328
category105,2023-09-01,22932
category106,2022-07-01,2354
category106,2022-08-01,1315
category106,2022-09-01,1370
category106,2023-01-01,1834
category106,2023-02-01,1236
category106,2023-03-01,755
category106,2023-04-01,1074
category106,2023-05-01,1236
category106,2023-06-01,2012
category106,2023-07-01,2366
category106,2023-08-01,1908
category106,2023-09-01,2057
category107,2022-07-01,75169
category107,2022-08-01,70085
category107,2022-09-01,65821
category107,2023-01-01,69639
category107,2023-02-01,75051
category107,2023-03-01,76425
category107,2023-04-01,87938
category107,2023-05-01,76070
category107,2023-06-01,84554
category107,2023-07-01,81869
category107,2023-08-01,80825
category107,2023-09-01,79928
category108,2022-07-01,16809
category108,2022-08-01,17122
category108,2022-09-01,15557
category108,2023-01-01,14634
category108,2023-02-01,9569
category108,2023-03-01,16923
category108,2023-04-01,16498
category108,2023-05-01,16725
category108,2023-06-01,17154
category108,2023-07-01,18016
category108,2023-08-01,18476
category108,2023-09-01,18344
category109,2022-07-01,333310
category109,2022-08-01,336152
category109,2022-09-01,322865
category109,2023-01-01,362790
category109,2023-02-01,371221
category109,2023-03-01,390659
category109,2023-04-01,396361
category109,2023-05-01,407561
category109,2023-06-01,436790
category109,2023-07-01,401100
category109,2023-08-01,413552
category109,2023-09-01,419244
category11,2022-07-01,1544
category11,2022-08-01,2305
category11,2022-09-01,1261
category11,2023-01-01,9688
category11,2023-02-01,9535
category11,2023-03-01,8595
category11,2023-04-01,4785
category11,2023-05-01,6936
category11,2023-06-01,7600
category11,2023-07-01,1544
category11,2023-08-01,2305
category11,2023-09-01,1261
category110,2022-07-01,8666
category110,2022-08-01,11590
category110,2022-09-01,11550
category110,2023-01-01,7283
category110,2023-02-01,4877
category110,2023-03-01,6208
category110,2023-04-01,6925
category110,2023-05-01,8228
category110,2023-06-01,7975
category110,2023-07-01,8621
category110,2023-08-01,9616
category110,2023-09-01,9755
category111,2022-07-01,7373
category111,2022-08-01,5146
category111,2022-09-01,4609
category111,2023-01-01,6184
category111,2023-02-01,4230
category111,2023-03-01,2764
category111,2023-04-01,3438
category111,2023-05-01,6075
category111,2023-06-01,7360
category111,2023-07-01,7906
category111,2023-08-01,7010
category111,2023-09-01,7029
category112,2022-07-01,3512
category112,2022-08-01,3104
category112,2022-09-01,3904
category112,2023-01-01,4047
category112,2023-02-01,1327
category112,2023-03-01,3859
category112,2023-04-01,2763
category112,2023-05-01,2225
category112,2023-06-01,4422
category112,2023-07-01,3920
category112,2023-08-01,4097
category112,2023-09-01,4649
category113,2022-07-01,2210
category113,2022-08-01,2188
category113,2022-09-01,2205
